person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer,occupation_sec1_grouped
http://www.wikidata.org/entity/Q3275723,Madeleine Riffaud,1924,female,Arvillers,POINT (2.646945 49.745),Western Europe,France,France,1946-1970,601,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q5493411,François Sully,1927,male,6th arrondissement of Paris,POINT (2.332233 48.850531),Western Europe,France,France,1946-1970,827,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q3158494,Jacques Chancel,1928,male,Ayzac-Ost,POINT (-0.096389 43.023611),Western Europe,France,France,1946-1970,581,war-correspondent,other,television,journalism_core
http://www.wikidata.org/entity/Q3048455,Edward Behr,1926,male,16th arrondissement of Paris,POINT (2.276489 48.863611),Western Europe,France,France,1946-1970,562,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q7679021,Talbot Duckmanton,1921,male,South Yarra,POINT (144.989 -37.84),Australia/New Zealand,Australia,Asia-Pacific,1946-1970,1004,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q496027,Eddie Adams,1933,male,New Kensington,POINT (-79.758333 40.568333),Northern America,United States,United States Can.,1946-1970,772,war-photographer,other,agency,journalism_core
http://www.wikidata.org/entity/Q99390539,H. D. S. Greenway,1935,male,Boston,POINT (-71.057778 42.360278),Northern America,United States,United States Can.,1946-1970,1114,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q2401525,Yves Courrière,1935,male,12th arrondissement of Paris,POINT (2.388183 48.840808),Western Europe,France,France,1946-1970,494,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q7969034,Ward Just,1935,male,Michigan City,POINT (-86.89306 41.71278),Northern America,United States,United States Can.,1946-1970,1027,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q76935,Horst Faas,1933,male,Berlin,POINT (13.383333 52.516667),Western Europe,Germany,Germany,1946-1970,1005,war-photographer,other,agency,journalism_core
http://www.wikidata.org/entity/Q5531414,Gene Roberts,1932,male,Pikeville,POINT (-77.986111 35.498889),Northern America,United States,United States Can.,1946-1970,835,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q4104509,Aleksey Vasilyev,1939,male,Saint Petersburg,POINT (30.316667 59.95),European Russia,Russian Federation,Russian Fed. Belarus,1946-1970,667,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q17626890,Huynh Thanh My,1938,male,Long An,POINT (106.166667 10.666667),Southeastern Asia,Viet nam,Asia-Pacific,1946-1970,395,war-photographer,other,agency,visual_media
http://www.wikidata.org/entity/Q937835,Michael Herr,1940,male,Lexington,POINT (-84.458611 38.049722),Northern America,United States,United States Can.,1946-1970,1081,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q5214843,Dana Stone,1939,male,Pomfret,POINT (-72.520278 43.6975),Northern America,United States,United States Can.,1946-1970,802,war-photographer,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q3170750,Jean Bertolino,1936,male,Marseille,POINT (5.376389 43.296667),Western Europe,France,France,1946-1970,586,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q920637,Morley Safer,1931,male,Toronto,POINT (-79.386667 43.670278),Northern America,Canada,United States Can.,1946-1970,1071,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q7274096,R. W. Apple Jr.,1934,male,Akron,POINT (-81.517778 41.073056),Northern America,United States,United States Can.,1946-1970,969,war-correspondent,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q5280188,Dirck Halstead,1936,male,Huntington,POINT (-73.426111 40.868056),Northern America,United States,United States Can.,1946-1970,811,war-photographer,other,enterprise,journalism_core
http://www.wikidata.org/entity/Q3303778,Brian Barron,1940,male,Bristol,POINT (-2.5975 51.453611),Northern Europe,United Kingdom,United Kingdom,1946-1970,609,war-correspondent,other,other,journalism_core
http://www.wikidata.org/entity/Q3286755,Manuel Bidermanas,1938,male,9th arrondissement of Paris,POINT (2.336967 48.878281),Western Europe,France,France,1946-1970,602,war-photographer,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q4718682,Alexander D. Shimkin,1944,male,"Washington, D.C.",POINT (-77.036667 38.895),Northern America,United States,United States Can.,1971-1995,744,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q50060717,Shyam Bhatia,1950,male,New Delhi,POINT (77.208889 28.613889),Southern Asia,India,Asia-Pacific,1971-1995,780,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q766913,Ed Bradley,1941,male,Philadelphia,POINT (-75.163611 39.952778),Northern America,United States,United States Can.,1971-1995,1003,war-correspondent,other,television,journalism_core
http://www.wikidata.org/entity/Q15071250,Viktor Litovkin,1945,male,Troianiv,POINT (28.523055 50.113333),Eastern Europe,Ukraine,Ukraine,1971-1995,326,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q3299130,Miroslav Lazanski,1950,male,Karlovac,POINT (15.555833 45.493056),Southern Europe,Croatia,Central/Eastern Europe,1971-1995,607,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q11904754,Albert Abril,1947,male,Barcelona,POINT (2.176944 41.3825),Southern Europe,Spain,Spain,1971-1995,170,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q327426,Sean Flynn,1941,male,Los Angeles,POINT (-118.24368 34.05223),Northern America,United States,United States Can.,1971-1995,600,war-photographer,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q16663578,Martine Laroche-Joubert,1947,female,Tartas,POINT (-0.808611 43.8325),Western Europe,France,France,1971-1995,371,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q115408489,Dariush Goodarzikia,1947,male,Enaj,POINT (49.317778 34.230278),Southern Asia,Iran,Middle East,1971-1995,143,war-photographer,other,enterprise,visual_media
http://www.wikidata.org/entity/Q3675375,Cengiz Çandar,1948,male,Ankara,POINT (32.83869 39.93576),Western Asia,Türkiye,Middle East,1971-1995,644,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q2830047,Alain Louyot,1948,male,Nancy,POINT (6.183611 48.692778),Western Europe,France,France,1971-1995,533,war-correspondent,other,newspaper,journalism_core
http://www.wikidata.org/entity/Q310900,Robert Fisk,1946,male,Maidstone,POINT (0.529444 51.271667),Northern Europe,United Kingdom,United Kingdom,1971-1995,566,war-correspondent,other,newspaper,journalism_core
