uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q89017951,August Ahrens,1893,male,Uhlenhorst,POINT (10.012736 53.571509),http://www.wikidata.org/entity/Q1143,1891-1900,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1938,1921-1945
http://www.wikidata.org/entity/Q472783,Yuri Libedinsky,1898,male,Odesa,POINT (30.73262 46.47747),http://www.wikidata.org/entity/Q1874,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1943,1921-1945
http://www.wikidata.org/entity/Q333873,Valentin Kataev,1897,male,Odesa,POINT (30.73262 46.47747),http://www.wikidata.org/entity/Q1874,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1942,1921-1945
http://www.wikidata.org/entity/Q3161503,James de Coquet,1898,male,Bordeaux,POINT (-0.579444 44.837778),http://www.wikidata.org/entity/Q1479,1891-1900,22,Western Europe,FR,France,France,FRA,France,1943,1921-1945
http://www.wikidata.org/entity/Q16222982,Diego González Ragel,1893,male,Jerez de la Frontera,POINT (-6.116667 36.7),http://www.wikidata.org/entity/Q12303,1891-1900,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1938,1921-1945
http://www.wikidata.org/entity/Q4422872,Lev Slavin,1896,male,Odesa,POINT (30.73262 46.47747),http://www.wikidata.org/entity/Q1874,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1941,1921-1945
http://www.wikidata.org/entity/Q98665900,Ferdinand Reyher,1891,male,Philadelphia,POINT (-75.163611 39.952778),http://www.wikidata.org/entity/Q1345,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1936,1921-1945
http://www.wikidata.org/entity/Q5077053,Charles E. Brown,1896,male,Wimbledon,POINT (-0.2171 51.4235),http://www.wikidata.org/entity/Q736742,1891-1900,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1941,1921-1945
http://www.wikidata.org/entity/Q5004336,Byron Darnton,1897,male,Adrian,POINT (-84.037222 41.8975),http://www.wikidata.org/entity/Q372304,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1942,1921-1945
http://www.wikidata.org/entity/Q3019247,Michał Dadlez,1895,male,Rava-Ruska,POINT (23.616666 50.25),http://www.wikidata.org/entity/Q997343,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1940,1921-1945
http://www.wikidata.org/entity/Q4137820,Semyon Gekht,1900,male,Odesa,POINT (30.73262 46.47747),http://www.wikidata.org/entity/Q1874,1891-1900,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1945,1921-1945
http://www.wikidata.org/entity/Q135035388,Alice Cantacuzino,1899,female,Bucharest,POINT (26.097778 44.413361),http://www.wikidata.org/entity/Q19660,1891-1900,8,Eastern Europe,RO,România,Romania,ROU,Central Europe,1944,1921-1945
http://www.wikidata.org/entity/Q38415,Ernie Pyle,1900,male,Dana,POINT (-87.4942 39.8067),http://www.wikidata.org/entity/Q389733,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1945,1921-1945
http://www.wikidata.org/entity/Q737545,Evelyn Irons,1900,female,Glasgow,POINT (-4.25 55.861111),http://www.wikidata.org/entity/Q4093,1891-1900,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1945,1921-1945
http://www.wikidata.org/entity/Q110136807,Tadeusz Rozek,1897,male,Przemyśl,POINT (22.78424 49.78345),http://www.wikidata.org/entity/Q208473,1891-1900,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1942,1921-1945
http://www.wikidata.org/entity/Q6097562,Rafael López Rienda,1897,male,Granada,POINT (-3.6 37.175),http://www.wikidata.org/entity/Q8810,1891-1900,19,Southern Europe,ES,España,Spain,ESP,Spain Port.,1942,1921-1945
http://www.wikidata.org/entity/Q111493746,Paul Bressolles,1891,male,Paris,POINT (2.352222 48.856667),http://www.wikidata.org/entity/Q90,1891-1900,22,Western Europe,FR,France,France,FRA,France,1936,1921-1945
http://www.wikidata.org/entity/Q23434,Ernest Hemingway,1899,male,Oak Park,POINT (-87.789444 41.888333),http://www.wikidata.org/entity/Q331397,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1944,1921-1945
http://www.wikidata.org/entity/Q5920326,Howard Marshall,1900,male,Surrey,POINT (-0.45 51.25),http://www.wikidata.org/entity/Q23276,1891-1900,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1945,1921-1945
http://www.wikidata.org/entity/Q831101,Wilhelm Petersen,1900,male,Elmshorn,POINT (9.653611 53.754722),http://www.wikidata.org/entity/Q6845,1891-1900,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1945,1921-1945
http://www.wikidata.org/entity/Q28096541,Georg Schödl,1899,male,Munich,POINT (11.575 48.1375),http://www.wikidata.org/entity/Q1726,1891-1900,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1944,1921-1945
http://www.wikidata.org/entity/Q312407,John Dos Passos,1896,male,Chicago,POINT (-87.627778 41.881944),http://www.wikidata.org/entity/Q1297,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1941,1921-1945
http://www.wikidata.org/entity/Q124790656,William George Horton,1893,male,Hamsey,POINT (0 50.9),http://www.wikidata.org/entity/Q5646409,1891-1900,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1938,1921-1945
http://www.wikidata.org/entity/Q7987177,Westbrook Pegler,1894,male,Minneapolis,POINT (-93.269167 44.981945),http://www.wikidata.org/entity/Q36091,1891-1900,23,Northern America,US,United States,United States,USA,United States Can.,1939,1921-1945
http://www.wikidata.org/entity/Q312637,Curzio Malaparte,1898,male,Prato,POINT (11.096561 43.880814),http://www.wikidata.org/entity/Q13377,1891-1900,19,Southern Europe,IT,Italia,Italy,ITA,Italy,1943,1921-1945
http://www.wikidata.org/entity/Q2991025,Boris Gorbatov,1908,male,Sokolohirsk,POINT (38.561945 48.629722),http://www.wikidata.org/entity/Q1844446,1901-1910,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1953,1946-1970
http://www.wikidata.org/entity/Q2636873,Alan Winnington,1910,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1901-1910,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1955,1946-1970
http://www.wikidata.org/entity/Q55615144,John Cashman,1910,male,Queens,POINT (-73.828055 40.713611),http://www.wikidata.org/entity/Q18424,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1955,1946-1970
http://www.wikidata.org/entity/Q6722979,Macdonald Hastings,1909,male,London,POINT (-0.1275 51.507222),http://www.wikidata.org/entity/Q84,1901-1910,24,Northern Europe,UK,United Kingdom,United Kingdom,GBR,United Kingdom,1954,1946-1970
http://www.wikidata.org/entity/Q5702619,Helen Kirkpatrick,1909,female,Rochester,POINT (-77.611389 43.165556),http://www.wikidata.org/entity/Q49218,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1954,1946-1970
http://www.wikidata.org/entity/Q28482313,Vagram Apresyan,1907,male,Ijevan,POINT (45.149167 40.875556),http://www.wikidata.org/entity/Q62367,1901-1910,21,Western Asia,AM,Հայաստան,Armenia,ARM,Russian Federation,1952,1946-1970
http://www.wikidata.org/entity/Q4496689,Zakhar Khatsrevin,1903,male,Vitebsk,POINT (30.166667 55.183333),http://www.wikidata.org/entity/Q102217,1901-1910,8,Eastern Europe,BY,Беларусь,Belarus,BLR,Baltic States Fin. Belar.,1948,1946-1970
http://www.wikidata.org/entity/Q18405199,Aleksandr Khamadan,1908,male,Derbent,POINT (48.288889 42.057778),http://www.wikidata.org/entity/Q131416,1901-1910,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1953,1946-1970
http://www.wikidata.org/entity/Q4484890,Konstantin Finn,1904,male,Moscow,POINT (37.6175 55.750556),http://www.wikidata.org/entity/Q649,1901-1910,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1949,1946-1970
http://www.wikidata.org/entity/Q4121800,Liya Solomyanskaya,1907,female,Minsk,POINT (27.561837 53.902246),http://www.wikidata.org/entity/Q2280,1901-1910,8,Eastern Europe,BY,Беларусь,Belarus,BLR,Baltic States Fin. Belar.,1952,1946-1970
http://www.wikidata.org/entity/Q56071900,Raoul Bailly,1903,male,Reims,POINT (4.028611 49.265278),http://www.wikidata.org/entity/Q41876,1901-1910,22,Western Europe,FR,France,France,FRA,France,1948,1946-1970
http://www.wikidata.org/entity/Q5055977,Cecil Brown,1907,male,New Brighton,POINT (-80.31006 40.73034),http://www.wikidata.org/entity/Q1185640,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1952,1946-1970
http://www.wikidata.org/entity/Q265131,Lee Miller,1907,female,Poughkeepsie,POINT (-73.930555 41.705278),http://www.wikidata.org/entity/Q178093,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1952,1946-1970
http://www.wikidata.org/entity/Q26934893,Éric Schwab,1910,male,Hamburg,POINT (10 53.55),http://www.wikidata.org/entity/Q1055,1901-1910,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1955,1946-1970
http://www.wikidata.org/entity/Q5077626,Charles Fenno Jacobs,1904,male,Waltham,POINT (-71.235005 42.380596),http://www.wikidata.org/entity/Q49190,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1949,1946-1970
http://www.wikidata.org/entity/Q27178338,Charles Tory Bruce,1906,male,Port Shoreham,POINT (-61.4208 45.4238),http://www.wikidata.org/entity/Q7230935,1901-1910,23,Northern America,CA,Canada-Canada,Canada,CAN,United States Can.,1951,1946-1970
http://www.wikidata.org/entity/Q19321666,Erich Andres,1905,male,Leipzig,POINT (12.374733 51.340632),http://www.wikidata.org/entity/Q2079,1901-1910,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1950,1946-1970
http://www.wikidata.org/entity/Q39212,John Steinbeck,1902,male,Salinas,POINT (-121.655555 36.677778),http://www.wikidata.org/entity/Q488125,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1947,1946-1970
http://www.wikidata.org/entity/Q27924793,Leo Leixner,1908,male,Thörl-Maglern,POINT (13.6525 46.543333),http://www.wikidata.org/entity/Q1289133,1901-1910,22,Western Europe,AT,Österreich,Austria,AUT,Austria Hungary,1953,1946-1970
http://www.wikidata.org/entity/Q4057482,Ğädel Qutuy,1903,male,Tatarsky Kanadey,POINT (46.9094 53.0917),http://www.wikidata.org/entity/Q16014737,1901-1910,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1948,1946-1970
http://www.wikidata.org/entity/Q3530288,Todd Webb,1905,male,Detroit,POINT (-83.0475 42.331667),http://www.wikidata.org/entity/Q12439,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1950,1946-1970
http://www.wikidata.org/entity/Q5676958,Dmitri Kessel,1902,male,Kyiv,POINT (30.523611 50.45),http://www.wikidata.org/entity/Q1899,1901-1910,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1947,1946-1970
http://www.wikidata.org/entity/Q4477673,Pavlo Usenko,1902,male,Plaveschyna,POINT (34.391969 48.84441),http://www.wikidata.org/entity/Q4364253,1901-1910,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1947,1946-1970
http://www.wikidata.org/entity/Q3140448,Horace Bristol,1908,male,Whittier,POINT (-118.024445 33.965556),http://www.wikidata.org/entity/Q838791,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1953,1946-1970
http://www.wikidata.org/entity/Q3189062,Julia Pirotte,1908,female,Końskowola,POINT (22.052778 51.408889),http://www.wikidata.org/entity/Q1959,1901-1910,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1953,1946-1970
http://www.wikidata.org/entity/Q4235649,Kost Herasymenko,1907,male,Prikhidki,POINT (32.683068 50.261316),http://www.wikidata.org/entity/Q4379306,1901-1910,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1952,1946-1970
http://www.wikidata.org/entity/Q238364,Margaret Bourke-White,1904,female,The Bronx,POINT (-73.873333 40.846667),http://www.wikidata.org/entity/Q18426,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1949,1946-1970
http://www.wikidata.org/entity/Q2118968,Alexander Bek,1903,male,Saratov,POINT (46.035 51.53),http://www.wikidata.org/entity/Q5332,1901-1910,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Federation,1948,1946-1970
http://www.wikidata.org/entity/Q2119208,Charles d'Ydewalle,1901,male,Ghent,POINT (3.725278 51.053611),http://www.wikidata.org/entity/Q1296,1901-1910,22,Western Europe,BE,Belgien-Belgique-België,Belgium,BEL,Belgium Netherl.,1946,1946-1970
http://www.wikidata.org/entity/Q21069702,Ollie Stewart,1906,male,Gibsland,POINT (-93.0594 32.5428),http://www.wikidata.org/entity/Q2920752,1901-1910,23,Northern America,US,United States,United States,USA,United States Can.,1951,1946-1970
http://www.wikidata.org/entity/Q4240974,Yevgeny Kriger,1906,male,Odesa,POINT (30.73262 46.47747),http://www.wikidata.org/entity/Q1874,1901-1910,8,Eastern Europe,UA,Україна,Ukraine,UKR,Ukraine,1951,1946-1970
http://www.wikidata.org/entity/Q21535536,John Joseph Thompson,1907,male,Kew,POINT (145.035833 -37.805278),http://www.wikidata.org/entity/Q72216,1901-1910,2,Australia/New Zealand,AU,Australia,Australia,AUS,Australia New Z.,1952,1946-1970
http://www.wikidata.org/entity/Q230068,Ève Curie,1904,female,13th arrondissement of Paris,POINT (2.355556 48.832222),http://www.wikidata.org/entity/Q175129,1901-1910,22,Western Europe,FR,France,France,FRA,France,1949,1946-1970
http://www.wikidata.org/entity/Q61597,Erika Mann,1905,female,Munich,POINT (11.575 48.1375),http://www.wikidata.org/entity/Q1726,1901-1910,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1950,1946-1970
