"pk_person_features","person_uri","occupation_main","occupation_sec1","coded_employer"
324,http://www.wikidata.org/entity/Q1483880,war-photographer,photographer,enterprise
326,http://www.wikidata.org/entity/Q15071250,war-correspondent,journalist,newspaper
328,http://www.wikidata.org/entity/Q15127495,war-correspondent,journalist,newspaper
331,http://www.wikidata.org/entity/Q152524,war-correspondent,journalist,other
337,http://www.wikidata.org/entity/Q155106,war-correspondent,journalist,newspaper
343,http://www.wikidata.org/entity/Q15963314,war-correspondent,journalist,newspaper
350,http://www.wikidata.org/entity/Q15997458,war-photographer,photographer,agency
353,http://www.wikidata.org/entity/Q16015140,war-correspondent,journalist,newspaper
354,http://www.wikidata.org/entity/Q160375,war-correspondent,journalist,enterprise
355,http://www.wikidata.org/entity/Q1605885,war-photographer,journalist,agency
371,http://www.wikidata.org/entity/Q16663578,war-correspondent,journalist,newspaper
375,http://www.wikidata.org/entity/Q1678898,war-correspondent,writer,newspaper
381,http://www.wikidata.org/entity/Q1708879,war-correspondent,journalist,other
386,http://www.wikidata.org/entity/Q17418894,war-correspondent,journalist,other
389,http://www.wikidata.org/entity/Q17432488,war-correspondent,journalist,other
390,http://www.wikidata.org/entity/Q1743447,war-correspondent,writer,other
393,http://www.wikidata.org/entity/Q17537054,war-correspondent,writer,other
395,http://www.wikidata.org/entity/Q17626890,war-photographer,photographer,agency
399,http://www.wikidata.org/entity/Q18011880,war-correspondent,journalist,newspaper
400,http://www.wikidata.org/entity/Q18021514,war-correspondent,journalist,other
410,http://www.wikidata.org/entity/Q18491533,war-correspondent,journalist,newspaper
413,http://www.wikidata.org/entity/Q18540206,war-correspondent,journalist,newspaper
430,http://www.wikidata.org/entity/Q1964719,war-photographer,journalist,newspaper
442,http://www.wikidata.org/entity/Q201589,war-correspondent,journalist,newspaper
450,http://www.wikidata.org/entity/Q20859063,war-correspondent,journalist,newspaper
451,http://www.wikidata.org/entity/Q20864129,war-correspondent,journalist,enterprise
454,http://www.wikidata.org/entity/Q21029733,war-correspondent,journalist,other
456,http://www.wikidata.org/entity/Q21074333,war-correspondent,journalist,newspaper
460,http://www.wikidata.org/entity/Q21140987,war-correspondent,journalist,newspaper
465,http://www.wikidata.org/entity/Q213957,war-correspondent,journalist,other
467,http://www.wikidata.org/entity/Q21421315,war-correspondent,journalist,newspaper
469,http://www.wikidata.org/entity/Q21531390,war-photographer,photographer,newspaper
480,http://www.wikidata.org/entity/Q22249366,war-correspondent,journalist,newspaper
481,http://www.wikidata.org/entity/Q22683759,war-correspondent,journalist,newspaper
483,http://www.wikidata.org/entity/Q2272484,war-correspondent,journalist,other
485,http://www.wikidata.org/entity/Q230068,war-correspondent,journalist,newspaper
494,http://www.wikidata.org/entity/Q2401525,war-correspondent,journalist,newspaper
496,http://www.wikidata.org/entity/Q2405682,war-correspondent,journalist,television
519,http://www.wikidata.org/entity/Q26934893,war-correspondent,war-photographer,agency
528,http://www.wikidata.org/entity/Q27924793,war-correspondent,journalist,newspaper
532,http://www.wikidata.org/entity/Q2825193,war-correspondent,journalist,newspaper
533,http://www.wikidata.org/entity/Q2830047,war-correspondent,journalist,newspaper
536,http://www.wikidata.org/entity/Q2851571,war-correspondent,journalist,newspaper
540,http://www.wikidata.org/entity/Q287994,war-correspondent,journalist,other
542,http://www.wikidata.org/entity/Q2889554,war-photographer,camera-operator,television
