person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_main,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q1483880,William Vandivert,1912,male,Evanston,POINT (-87.685 42.047222),Northern America,United States,United States Can.,1946-1970,337,war-photographer,visual_media,press / corporate and general
http://www.wikidata.org/entity/Q136631472,Andrejs Spekke,1915,male,Moscow,POINT (37.6175 55.750556),European Russia,Russian Federation,Russian Fed. Belarus,1946-1970,308,war-correspondent,writing_intellectual,other
http://www.wikidata.org/entity/Q136386664,Акульшин Дмитрий Филиппович,1911,male,Donetsk,POINT (37.802778 48.015833),Eastern Europe,Ukraine,Ukraine,1946-1970,307,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q15977771,Harry Wayland Randall,1915,male,Spokane,POINT (-117.4235 47.657195),Northern America,United States,United States Can.,1946-1970,363,war-photographer,other,other
http://www.wikidata.org/entity/Q1964719,Dmitry Baltermants,1912,male,Warsaw,POINT (21.011111 52.23),Eastern Europe,Poland,Poland,1946-1970,448,war-photographer,visual_media,press / government and military
http://www.wikidata.org/entity/Q152524,Robert Capa,1913,male,Budapest,POINT (19.040833 47.498333),Eastern Europe,Hungary,Central/Eastern Europe,1946-1970,345,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q352870,Joe Rosenthal,1911,male,"Washington, D.C.",POINT (-77.036667 38.895),Northern America,United States,United States Can.,1946-1970,664,war-photographer,visual_media,other
http://www.wikidata.org/entity/Q76655843,Francis Hallawell,1912,male,Porto Alegre,POINT (-51.23 -30.032778),South America,Brazil,Global South,1946-1970,1050,war-correspondent,other,other
http://www.wikidata.org/entity/Q72826,Henri Nannen,1913,male,Emden,POINT (7.206111 53.366944),Western Europe,Germany,Germany,1946-1970,1017,war-correspondent,journalism_core,press
http://www.wikidata.org/entity/Q5493411,François Sully,1927,male,6th arrondissement of Paris,POINT (2.332233 48.850531),Western Europe,France,France,1971-1995,868,war-correspondent,journalism_core,press / corporate and general
http://www.wikidata.org/entity/Q3751306,Franco Ferrari,1929,male,Sondrio,POINT (9.87 46.16972),Southern Europe,Italy,Western Europe,1971-1995,678,war-correspondent,journalism_core,other
http://www.wikidata.org/entity/Q7679021,Talbot Duckmanton,1921,male,South Yarra,POINT (144.989 -37.84),Australia/New Zealand,Australia,Asia-Pacific,1946-1970,1052,war-correspondent,journalism_core,corporate and general
http://www.wikidata.org/entity/Q6939240,Murray Fromson,1929,male,The Bronx,POINT (-73.873333 40.846667),Northern America,United States,United States Can.,1971-1995,993,war-correspondent,journalism_core,press / academic and education
http://www.wikidata.org/entity/Q6830516,Michael Gannon,1927,male,Fort Sill,POINT (-98.508333 34.704167),Northern America,United States,United States Can.,1971-1995,989,war-correspondent,writing_intellectual,press / academic and education
http://www.wikidata.org/entity/Q66487154,Xu Huaizhong,1929,male,Handan,POINT (114.48937 36.61161),Eastern Asia,China,Asia-Pacific,1971-1995,973,war-correspondent,writing_intellectual,press / academic and education
http://www.wikidata.org/entity/Q88645650,Hugo Wilmar,1923,male,Amersfoort,POINT (5.38 52.15),Western Europe,Netherlands,Western Europe,1946-1970,1108,war-photographer,visual_media,corporate and general
http://www.wikidata.org/entity/Q3158494,Jacques Chancel,1928,male,Ayzac-Ost,POINT (-0.096389 43.023611),Western Europe,France,France,1971-1995,607,war-correspondent,journalism_core,other
