uriPer,labelPer,birthYear,gender,labelPlace,geometry,uriPlace,periods,FID,REGION,CNTR_ID,CNTR_NAME,NAME_ENGL,ISO3_CODE,coded_country,activityYear,periodsActivity
http://www.wikidata.org/entity/Q551491,W. Eugene Smith,1918,male,Wichita,POINT (-97.336111 37.688889),http://www.wikidata.org/entity/Q49266,1911-1920,23,Northern America,US,United States,United States,USA,United States Can.,1963,1946-1970
http://www.wikidata.org/entity/Q16832221,Jean Ross,1911,female,Alexandria,POINT (29.8925 31.1975),http://www.wikidata.org/entity/Q87,1911-1920,13,Northern Africa,EG,مصر,Egypt,EGY,Middle East,1956,1946-1970
http://www.wikidata.org/entity/Q59528094,Hermann Ziock,1913,male,Greven,POINT (7.608333 52.091667),http://www.wikidata.org/entity/Q14917,1911-1920,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1958,1946-1970
http://www.wikidata.org/entity/Q15977771,Harry Wayland Randall,1915,male,Spokane,POINT (-117.4235 47.657195),http://www.wikidata.org/entity/Q187805,1911-1920,23,Northern America,US,United States,United States,USA,United States Can.,1960,1946-1970
http://www.wikidata.org/entity/Q19361622,Dusan Moravec,1920,male,Ljubljana,POINT (14.506111 46.051389),http://www.wikidata.org/entity/Q437,1911-1920,19,Southern Europe,SI,Slovinsko,Slovenia,SVN,Central/Eastern Europe,1965,1946-1970
http://www.wikidata.org/entity/Q5387483,Eric Sevareid,1912,male,Velva,POINT (-100.93 48.058056),http://www.wikidata.org/entity/Q2278261,1911-1920,23,Northern America,US,United States,United States,USA,United States Can.,1957,1946-1970
http://www.wikidata.org/entity/Q15968900,Denis Warner,1917,male,New Norfolk,POINT (147.059444 -42.782778),http://www.wikidata.org/entity/Q1982848,1911-1920,2,Australia/New Zealand,AU,Australia,Australia,AUS,Asia-Pacific,1962,1946-1970
http://www.wikidata.org/entity/Q1964719,Dmitry Baltermants,1912,male,Warsaw,POINT (21.011111 52.23),http://www.wikidata.org/entity/Q270,1911-1920,8,Eastern Europe,PL,Polska,Poland,POL,Poland,1957,1946-1970
http://www.wikidata.org/entity/Q15603100,Juan Guzmán,1911,male,Cologne,POINT (6.957778 50.942222),http://www.wikidata.org/entity/Q365,1911-1920,22,Western Europe,DE,Deutschland,Germany,DEU,Germany,1956,1946-1970
http://www.wikidata.org/entity/Q152524,Robert Capa,1913,male,Budapest,POINT (19.040833 47.498333),http://www.wikidata.org/entity/Q1781,1911-1920,8,Eastern Europe,HU,Magyarország,Hungary,HUN,Central/Eastern Europe,1958,1946-1970
http://www.wikidata.org/entity/Q1523446,Alexander Yashin,1913,male,Bludnovo,POINT (45.553611 59.397222),http://www.wikidata.org/entity/Q13663846,1911-1920,9,European Russia,RU,Россия,Russian Federation,RUS,Russian Fed. Belarus,1958,1946-1970
