"pk_person_features","person_uri","occupation_main","occupation_sec2","coded_employer"
937,http://www.wikidata.org/entity/Q6112214,war-correspondent,journalist,corporate and general
941,http://www.wikidata.org/entity/Q6136813,war-photographer,photographer,press
947,http://www.wikidata.org/entity/Q6173656,war-correspondent,journalist,press / corporate and general
964,http://www.wikidata.org/entity/Q64502992,war-correspondent,photographer,other
966,http://www.wikidata.org/entity/Q64685858,war-correspondent,novelist,press
968,http://www.wikidata.org/entity/Q6540496,war-correspondent,journalist,corporate and general
971,http://www.wikidata.org/entity/Q66041141,war-correspondent,journalist,other
973,http://www.wikidata.org/entity/Q66487154,war-correspondent,writer,press / academic and education
977,http://www.wikidata.org/entity/Q671985,war-correspondent,journalist,press / television and radio
981,http://www.wikidata.org/entity/Q6767269,war-correspondent,journalist,other
984,http://www.wikidata.org/entity/Q6790634,war-correspondent,journalist,corporate and general
985,http://www.wikidata.org/entity/Q6791162,war-correspondent,journalist,press
989,http://www.wikidata.org/entity/Q6830516,war-correspondent,historian,press / academic and education
991,http://www.wikidata.org/entity/Q6860560,war-correspondent,journalist,press / television and radio
993,http://www.wikidata.org/entity/Q6939240,war-correspondent,journalist,press / academic and education
1005,http://www.wikidata.org/entity/Q709579,war-correspondent,writer,corporate and general
1010,http://www.wikidata.org/entity/Q7154771,war-correspondent,journalist,corporate and general
1015,http://www.wikidata.org/entity/Q724357,war-correspondent,journalist,other
1016,http://www.wikidata.org/entity/Q7274096,war-correspondent,journalist,corporate and general
1017,http://www.wikidata.org/entity/Q72826,war-correspondent,journalist,press
1022,http://www.wikidata.org/entity/Q731139,war-correspondent,journalist,press / television and radio
1034,http://www.wikidata.org/entity/Q7384540,war-photographer,photographer,other
1049,http://www.wikidata.org/entity/Q76632,war-correspondent,journalist,press
1050,http://www.wikidata.org/entity/Q76655843,war-correspondent,engineer,other
1051,http://www.wikidata.org/entity/Q766913,war-correspondent,journalist,other
1052,http://www.wikidata.org/entity/Q7679021,war-correspondent,announcer,corporate and general
1053,http://www.wikidata.org/entity/Q76935,war-photographer,writer,corporate and general
1056,http://www.wikidata.org/entity/Q77347,war-photographer,photographer,corporate and general
1059,http://www.wikidata.org/entity/Q77713414,war-photographer,NA,press / government and military
1060,http://www.wikidata.org/entity/Q7788166,war-photographer,photographer,other
1076,http://www.wikidata.org/entity/Q7969034,war-correspondent,journalist,press
1078,http://www.wikidata.org/entity/Q7987177,war-correspondent,journalist,corporate and general
1080,http://www.wikidata.org/entity/Q8007849,war-correspondent,journalist,other
1083,http://www.wikidata.org/entity/Q8029120,war-correspondent,journalist,press / corporate and general
1085,http://www.wikidata.org/entity/Q8048898,war-photographer,photographer,corporate and general
1089,http://www.wikidata.org/entity/Q8198059,war-correspondent,journalist,press / other
1090,http://www.wikidata.org/entity/Q8201046,war-photographer,photographer,press
1092,http://www.wikidata.org/entity/Q831101,war-correspondent,photographer,other
1093,http://www.wikidata.org/entity/Q84121088,war-photographer,photographer,corporate and general
1095,http://www.wikidata.org/entity/Q84593699,war-photographer,photographer,corporate and general
1096,http://www.wikidata.org/entity/Q84714703,war-correspondent,writer,press
1097,http://www.wikidata.org/entity/Q84720985,war-correspondent,NA,other
1103,http://www.wikidata.org/entity/Q85870330,war-correspondent,journalist,corporate and general
1108,http://www.wikidata.org/entity/Q88645650,war-photographer,photographer,corporate and general
1113,http://www.wikidata.org/entity/Q89017951,war-correspondent,photographer,press
1116,http://www.wikidata.org/entity/Q89422711,war-photographer,photographer,press / other
1122,http://www.wikidata.org/entity/Q920637,war-correspondent,journalist,press / corporate and general
1126,http://www.wikidata.org/entity/Q922552,war-correspondent,journalist,press / television and radio
1128,http://www.wikidata.org/entity/Q934682,war-correspondent,journalist,press
1130,http://www.wikidata.org/entity/Q9368884,war-correspondent,journalist,press / corporate and general
1132,http://www.wikidata.org/entity/Q937835,war-correspondent,journalist,press
1149,http://www.wikidata.org/entity/Q959600,war-correspondent,journalist,press / academic and education
1150,http://www.wikidata.org/entity/Q960196,war-photographer,photographer,other
1154,http://www.wikidata.org/entity/Q96743044,war-correspondent,journalist,press / corporate and general
1157,http://www.wikidata.org/entity/Q96978,war-correspondent,journalist,corporate and general
1165,http://www.wikidata.org/entity/Q98756136,war-correspondent,journalist,press
1168,http://www.wikidata.org/entity/Q99390539,war-correspondent,journalist,press / corporate and general
